               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067625,            0.035011,            0.024235,             0.61106,             0.52449,             0.56667,             0.29394,            0.050282,             0.01836,            0.013007,            0.070032,           0.0033298,           0.0033298
                   1,            0.053177,            0.030859,            0.015502,              0.6474,             0.53588,             0.58313,             0.32584,            0.047711,            0.018883,            0.013136,            0.039812,           0.0064433,           0.0064433
                   2,             0.05061,            0.032201,            0.015914,             0.59364,             0.46316,             0.49593,             0.26891,             0.04914,            0.020762,            0.014654,           0.0093718,           0.0093367,           0.0093367
                   3,            0.048066,            0.032435,            0.014555,              0.5777,             0.47934,             0.50684,             0.28183,            0.046611,            0.020929,             0.01426,             0.00901,             0.00901,             0.00901
                   4,            0.048415,            0.033602,            0.016189,             0.60408,             0.48531,             0.53005,             0.30238,            0.045993,            0.020773,            0.013874,             0.00901,             0.00901,             0.00901
                   5,            0.047126,            0.033079,            0.015383,             0.59328,             0.49637,             0.53329,             0.30718,            0.045253,            0.020468,            0.014067,             0.00868,             0.00868,             0.00868
                   6,             0.04605,            0.032384,             0.01486,             0.65774,             0.52137,             0.57468,             0.34169,            0.044105,             0.01977,            0.013265,             0.00835,             0.00835,             0.00835
                   7,            0.044867,            0.031716,            0.014351,             0.67684,             0.54087,             0.60222,             0.36557,            0.043467,            0.019429,            0.012806,             0.00802,             0.00802,             0.00802
                   8,            0.044026,            0.031268,            0.013922,             0.64471,             0.55685,             0.59495,             0.35756,            0.042857,            0.019481,            0.012488,             0.00769,             0.00769,             0.00769
                   9,             0.04387,            0.031726,             0.01373,              0.6622,             0.54485,             0.60282,             0.36667,            0.042743,            0.019424,            0.012483,             0.00736,             0.00736,             0.00736
                  10,            0.043086,            0.031233,            0.013275,             0.66911,             0.56052,             0.61077,             0.37348,            0.042283,            0.019119,            0.012041,             0.00703,             0.00703,             0.00703
                  11,            0.042936,            0.030864,             0.01293,             0.67531,             0.56225,             0.61172,             0.37909,            0.041866,            0.019081,            0.012437,              0.0067,              0.0067,              0.0067
                  12,            0.042299,            0.030564,             0.01263,              0.6839,             0.56088,              0.6241,             0.38532,            0.041425,            0.018965,            0.011765,             0.00637,             0.00637,             0.00637
                  13,            0.041926,            0.030279,            0.012416,             0.68522,              0.5737,             0.63268,             0.39625,            0.041261,            0.018885,            0.011413,             0.00604,             0.00604,             0.00604
                  14,            0.041453,            0.030073,            0.011935,             0.70112,             0.57288,             0.64294,             0.40438,            0.041057,            0.018638,            0.011545,             0.00571,             0.00571,             0.00571
                  15,            0.041184,            0.029779,            0.011852,             0.71491,             0.57572,             0.64604,             0.40899,             0.04071,            0.018683,            0.011439,             0.00538,             0.00538,             0.00538
                  16,            0.040776,            0.029565,            0.011774,             0.69676,              0.5811,             0.64727,              0.4028,            0.040751,            0.018536,            0.011258,             0.00505,             0.00505,             0.00505
                  17,             0.04036,            0.029431,            0.011139,              0.7073,             0.58238,             0.65204,             0.41012,            0.040335,            0.018446,            0.011221,             0.00472,             0.00472,             0.00472
                  18,            0.040238,            0.029347,            0.011098,             0.70981,             0.59148,             0.65705,             0.41887,            0.040084,            0.018451,            0.011361,             0.00439,             0.00439,             0.00439
                  19,            0.039674,            0.029279,            0.010834,             0.70305,             0.58584,             0.65402,             0.41574,            0.040021,            0.018396,            0.011214,             0.00406,             0.00406,             0.00406
                  20,            0.039449,            0.028221,            0.010561,              0.7197,             0.58604,             0.66025,             0.42379,            0.039897,            0.018281,            0.010909,             0.00373,             0.00373,             0.00373
                  21,            0.039239,            0.028516,            0.010302,             0.72243,              0.5982,              0.6675,               0.428,            0.039735,            0.018199,            0.011044,              0.0034,              0.0034,              0.0034
                  22,            0.039006,            0.028388,            0.010045,             0.71424,             0.59905,             0.66416,             0.42624,             0.03942,            0.018125,            0.010966,             0.00307,             0.00307,             0.00307
                  23,             0.03825,            0.028001,           0.0099521,             0.72228,             0.60289,             0.67062,             0.43263,            0.039338,            0.018063,            0.011052,             0.00274,             0.00274,             0.00274
                  24,            0.038169,            0.028019,           0.0097893,             0.73327,             0.58541,             0.66877,             0.43267,            0.039179,            0.018125,            0.011242,             0.00241,             0.00241,             0.00241
                  25,            0.037702,              0.0277,            0.009425,             0.71459,             0.60817,             0.67034,             0.43374,            0.039107,            0.018067,            0.011266,             0.00208,             0.00208,             0.00208
                  26,            0.037442,            0.027655,           0.0093168,             0.71586,             0.61399,              0.6767,             0.43989,            0.039005,            0.017947,            0.011112,             0.00175,             0.00175,             0.00175
                  27,            0.037401,            0.027384,           0.0090145,              0.7268,             0.60548,             0.67384,             0.43936,            0.038899,            0.017956,            0.011082,             0.00142,             0.00142,             0.00142
                  28,            0.036952,            0.026899,           0.0086843,             0.73262,              0.6068,             0.67986,             0.44442,            0.038816,            0.017931,            0.011116,             0.00109,             0.00109,             0.00109
                  29,             0.03684,            0.027059,           0.0084933,              0.7393,             0.60884,             0.68088,             0.44562,            0.038731,            0.017953,            0.011158,             0.00076,             0.00076,             0.00076
